   time,        cpu%,      mem%
20200320-145627,0.0,10.181202049766144
20200320-145630,8.3,10.181202049766144
20200320-145633,5.7,10.181202049766144
20200320-145636,2.1,10.181202049766144
20200320-145639,14.1,10.181202049766144
20200320-145642,20.3,10.277564395523186
20200320-145645,12.5,10.193940160052897
20200320-145648,29.2,10.226223004443753
20200320-145651,0.5,10.195009772367051
20200320-145654,22.9,10.195982147198102
20200320-145657,10.4,10.196030765939653
20200320-145700,3.6,10.195204247333262
20200320-145703,6.2,10.19539872229947
20200320-145706,4.2,10.19539872229947
20200320-145709,6.2,10.195641816007235
20200320-145712,3.1,10.195641816007235
20200320-145715,4.2,10.195884909714998
20200320-145718,2.1,10.19593352845655
20200320-145721,9.9,10.196176622164312
20200320-145724,1.6,10.196273859647418
20200320-145727,1.6,10.196371097130521
20200320-145730,23.4,10.19671142832139
20200320-145733,12.5,10.19768380315244
20200320-145736,20.3,10.198024134343306
20200320-145739,9.9,10.198510321758832
20200320-145742,16.7,10.199482696589882
20200320-145745,7.8,10.199531315331434
20200320-145748,4.7,10.199677171556091
20200320-145751,4.2,10.200260596454722
20200320-145754,11.9,10.200649546387142
20200320-145757,18.2,10.201038496319562
20200320-145800,6.8,10.20021197771317
20200320-145804,22.4,10.200844021353351
20200320-145807,1.6,10.200892640094903
20200320-145810,2.1,10.201135733802666
20200320-145813,5.2,10.201135733802666
20200320-145816,72.4,10.217860580896724
20200320-145819,1.0,10.217909199638276
20200320-145822,4.7,10.21873571824467
20200320-145825,1.0,10.218784336986221
20200320-145828,0.0,10.218784336986221
20200320-145831,13.0,10.219319143143299
20200320-145834,0.5,10.219319143143299
20200320-145837,7.8,10.219610855592613
20200320-145840,15.5,10.220729086648321
20200320-145843,12.0,10.220583230423664
20200320-145846,1.0,10.220437374199006
20200320-145849,0.0,10.220437374199006
20200320-145852,1.6,10.220631849165217
20200320-145855,1.6,10.220340136715901
20200320-145858,0.0,10.220340136715901
20200320-145901,0.5,10.220437374199006
20200320-145904,0.5,10.220485992940558
20200320-145907,1.0,10.221069417839189
20200320-145910,8.3,10.222187648894895
20200320-145913,18.2,10.222284886378
20200320-145916,21.9,10.220048424266587
20200320-145919,7.8,10.220242899232797
20200320-145922,7.8,10.221215274063846
20200320-145925,33.3,10.223257261209051
20200320-145928,8.9,10.22359759239992
20200320-145931,31.2,10.305374315691212
20200320-145934,1.6,10.242267189156076
20200320-145937,1.0,10.242364426639181
20200320-145940,22.4,10.255442868116802
20200320-145943,13.5,10.256123530498536
20200320-145946,30.7,10.257679330228216
